CACNA1C	COPS5
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	TP53
CACNA1S	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
SRI	ANXA7
ANXA7	TP53
CACNA1G	RANBP9
RANBP9	NR3C1
NR3C1	NFKB1
RANBP9	ESR1
ESR1	TP53
CACNA1H	KLHL1
KLHL1	CACNA1A
CACNA1A	NOTCH1
NOTCH1	NFKB1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
CREBBP	RELA
CACNA1A	HECW1
HECW1	TP53
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
FLNA	RANBP2
RANBP2	TP53
DRD1	RANBP9
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
EP300	RELA
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
GPRASP2	AGO1
AGO1	RELA
TXN	TP53
CHRM2	SET
SET	NR3C1
SET	CCNB1
CCNB1	RELA
SET	TP53
CHRM3	SET
NFKB1	BCL2A1
NFKB1	TRAF2
RELA	BCL2A1
RELA	TRAF2
NFKB1	CEBPB
RELA	CEBPB
TP53	BAK1
