GLI3	WNT16
MAPK11	IL8
RBPJL	FCER2
CREBBP	PFKFB4
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
RXRA	SCP2
RXRA	SCD5
RXRB	GK
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
NFYA	HLA-DQA1
NFYC	LOC100509457
NFYC	LOC101060835
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1B
RFXANK	HLA-DMB
RFXANK	HLA-DOA
E2F+P170	CCNA2
MYC	CCNB1
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
USF1	HMOX1
CEBPB	HP
ATF4	HPGD
CREB1	HPGD
POU2F1	LPL
NFKB1	MAT2A
SP1	MAT2A
SP1	MAT2B
SP3	MAT2B
NFIC	MBP
JUN	TFF1
